timestamp,move_name,intensity,duration_s,spread_before,spread_after,depth_before,depth_after
1760487814276,Recover,1.0,2.0,0.3819827312674565,0.24989784691903433,50,63
1760487814276,Recover,1.0,2.0,0.29926887924254153,0.2946324038905144,73,50
1760487814276,Recover,1.0,2.0,0.2996558606095733,0.3111583078007435,68,60
1760487814276,Recover,1.0,2.0,0.463981352137535,0.45839991563589755,53,35
1760487814276,Recover,1.0,2.0,0.3774032899963028,0.31153998905548,80,50
1760487814276,Recover,1.0,2.0,0.26677149828517216,0.10446456794940935,38,45
1760487814276,Recover,1.0,2.0,0.2752268306737924,0.22995174421231757,96,53
1760487814276,Recover,1.0,2.0,0.3052918421692495,0.4825668739960435,50,48
1760487814276,Recover,1.0,2.0,0.11625948778587265,0.23449817279841884,88,61
1760487814276,Recover,1.0,2.0,0.3504722887194408,0.21900240191001666,60,83
1760487814276,Recover,1.0,2.0,0.40378216720755866,0.34767247492565106,76,70
1760487814276,Recover,1.0,2.0,0.4423125528706081,0.43097646447862004,31,56
1760487814276,Recover,1.0,2.0,0.31155907611791545,0.4172388857476961,33,45
1760487814276,Recover,1.0,2.0,0.23126207274655286,0.2082530185647642,70,69
1760487814276,Recover,1.0,2.0,0.12222114091765089,0.1454670262792262,32,82
1760487814276,Recover,1.0,2.0,0.23883898328972042,0.4999090283437585,62,65
1760487814277,Recover,1.0,2.0,0.16546757042050708,0.3605135924464774,43,59
1760487814277,Recover,1.0,2.0,0.31725985464574513,0.10753725587961208,64,48
1760487814277,Recover,1.0,2.0,0.49662989039345906,0.1812129918581778,79,53
1760487814277,Recover,1.0,2.0,0.2283217350079812,0.10927633130076836,56,86
1760487814277,Recover,1.0,2.0,0.19998669920905146,0.21337654886127597,69,63
1760487814277,Recover,1.0,2.0,0.17148069177523265,0.354707068592757,50,69
1760487814277,Recover,1.0,2.0,0.36753624112687244,0.2802170281255134,84,58
1760487814277,Recover,1.0,2.0,0.37768869110378744,0.2558896996840535,36,64
1760487814277,Recover,1.0,2.0,0.30992817971116704,0.17630346380815493,32,67
1760487814277,Recover,1.0,2.0,0.25018898477631085,0.4401462285738348,23,63
1760487814277,Recover,1.0,2.0,0.21356527983674398,0.3241500430404384,43,91
1760487814277,Recover,1.0,2.0,0.4651004983824061,0.16065726030478672,56,81
1760487814277,Recover,1.0,2.0,0.30139361079750926,0.3791830510369103,82,49
1760487814277,Recover,1.0,2.0,0.39104536213254104,0.41135391871880866,32,85
1760487814277,Recover,1.0,2.0,0.24565461518804477,0.28782079302454966,50,73
1760487814277,Recover,1.0,2.0,0.35939037406462626,0.34749226217848017,67,81
1760487814277,Recover,1.0,2.0,0.4971507690048904,0.4309748769589977,29,34
1760487814277,Recover,1.0,2.0,0.4949271040864768,0.47186989706282323,75,50
1760487814277,Recover,1.0,2.0,0.27616742622695534,0.3923789574696801,52,48
1760487814277,Recover,1.0,2.0,0.33609187504786675,0.23276084086077461,76,53
1760487814277,Recover,1.0,2.0,0.4216339061777038,0.2015707827084816,59,68
1760487814277,Recover,1.0,2.0,0.3850640352032374,0.2771942161658264,68,65
1760487814277,Recover,1.0,2.0,0.13295662708576017,0.366094972336926,78,83
1760487814277,Recover,1.0,2.0,0.16708080758366642,0.2452999498470562,46,66
1760487814277,Recover,1.0,2.0,0.23570093315008142,0.31975433614327475,89,73
1760487814277,Recover,1.0,2.0,0.4545664962592101,0.3491064791901286,64,45
1760487814277,Recover,1.0,2.0,0.18772244992808373,0.16118930358899416,56,47
1760487814277,Recover,1.0,2.0,0.22520332888251013,0.1278912813186946,78,69
1760487814277,Recover,1.0,2.0,0.3209212074389086,0.4630625725613188,51,34
1760487814277,Recover,1.0,2.0,0.26906403231066556,0.35050060921124526,59,57
1760487814277,Recover,1.0,2.0,0.28792431725389067,0.46643434925787586,57,56
1760487814277,Recover,1.0,2.0,0.16685685373384967,0.3806002581203808,44,65
1760487814277,Recover,1.0,2.0,0.26517614702715864,0.4266416139547079,73,46
1760487814277,Recover,1.0,2.0,0.25265798992248134,0.17820337170767309,72,64
1760487814277,Recover,1.0,2.0,0.18371892987130123,0.3550646189116067,49,64
1760487814278,Recover,1.0,2.0,0.4732373753819561,0.2897687339487287,80,68
1760487814278,Recover,1.0,2.0,0.30971867693468236,0.26817634704688087,43,25
1760487814278,Recover,1.0,2.0,0.45764371483525723,0.25321081313027616,70,57
1760487814278,Recover,1.0,2.0,0.3749941870068392,0.18679708668265507,82,69
1760487814278,Recover,1.0,2.0,0.24144841631187727,0.32235896699729094,77,57
1760487814278,Recover,1.0,2.0,0.31089379335778766,0.4245322803281174,39,41
1760487814278,Recover,1.0,2.0,0.37414586052149457,0.4166448844730142,32,41
1760487814278,Recover,1.0,2.0,0.2964602891129123,0.1725592404206039,59,47
1760487814278,Recover,1.0,2.0,0.44167297717332854,0.1276449016455851,90,65
1760487814278,Recover,1.0,2.0,0.23892602485847145,0.3303450729675914,98,41
1760487814278,Recover,1.0,2.0,0.3065266730741849,0.3776636407964312,60,80
1760487814278,Recover,1.0,2.0,0.29104444799185336,0.1733714284291376,45,73
1760487814278,Recover,1.0,2.0,0.41362020454933734,0.2032395840106367,51,54
